esperanto,translation,notes
hundo,dog,common noun
kato,cat,common noun
domo,house,common noun
libro,book,common noun
akvo,water,common noun
manĝi,to eat,verb
trinki,to drink,verb
paroli,to speak,verb
lerni,to learn,verb
ami,to love,verb
bela,beautiful,adjective
granda,big,adjective
malgranda,small,adjective
rapida,fast,adjective
malrapida,slow,adjective
bonvenon,welcome,greeting
saluton,hello,greeting
adiaŭ,goodbye,greeting
dankon,thank you,polite phrase
bonvolu,please,polite phrase
jes,yes,basic word
ne,no,basic word
mi,I/me,pronoun
vi,you,pronoun
li,he,pronoun
ŝi,she,pronoun
ni,we,pronoun
ili,they,pronoun
tago,day,time
nokto,night,time
semajno,week,time
jaro,year,time
ruĝa,red,colour
blua,blue,colour
verda,green,colour
flava,yellow,colour
blanka,white,colour
nigra,black,colour
unu,one,number
du,two,number
tri,three,number
kvar,four,number
kvin,five,number
